"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"06/01/2017 14:00:00 - 06/01/2017 15:00:00","BZN|NL","Without sequence","53.01","",""
"06/01/2017 15:00:00 - 06/01/2017 16:00:00","BZN|NL","Without sequence","52.4","",""
"06/01/2017 16:00:00 - 06/01/2017 17:00:00","BZN|NL","Without sequence","55.06","",""
"06/01/2017 17:00:00 - 06/01/2017 18:00:00","BZN|NL","Without sequence","66.82","",""
"06/01/2017 18:00:00 - 06/01/2017 19:00:00","BZN|NL","Without sequence","49.0","",""
"06/01/2017 19:00:00 - 06/01/2017 20:00:00","BZN|NL","Without sequence","40.0","",""
"06/01/2017 20:00:00 - 06/01/2017 21:00:00","BZN|NL","Without sequence","43.01","",""
"06/01/2017 21:00:00 - 06/01/2017 22:00:00","BZN|NL","Without sequence","38.04","",""
"06/01/2017 22:00:00 - 06/01/2017 23:00:00","BZN|NL","Without sequence","42.0","",""
"06/01/2017 23:00:00 - 07/01/2017 00:00:00","BZN|NL","Without sequence","39.64","",""
"07/01/2017 00:00:00 - 07/01/2017 01:00:00","BZN|NL","Without sequence","32.27","",""
"07/01/2017 01:00:00 - 07/01/2017 02:00:00","BZN|NL","Without sequence","32.14","",""
"07/01/2017 02:00:00 - 07/01/2017 03:00:00","BZN|NL","Without sequence","29.22","",""
"07/01/2017 03:00:00 - 07/01/2017 04:00:00","BZN|NL","Without sequence","28.76","",""
"07/01/2017 04:00:00 - 07/01/2017 05:00:00","BZN|NL","Without sequence","29.56","",""
"07/01/2017 05:00:00 - 07/01/2017 06:00:00","BZN|NL","Without sequence","29.59","",""
"07/01/2017 06:00:00 - 07/01/2017 07:00:00","BZN|NL","Without sequence","30.07","",""
"07/01/2017 07:00:00 - 07/01/2017 08:00:00","BZN|NL","Without sequence","28.55","",""
"07/01/2017 08:00:00 - 07/01/2017 09:00:00","BZN|NL","Without sequence","30.96","",""
"07/01/2017 09:00:00 - 07/01/2017 10:00:00","BZN|NL","Without sequence","36.86","",""
"07/01/2017 10:00:00 - 07/01/2017 11:00:00","BZN|NL","Without sequence","36.43","",""
"07/01/2017 11:00:00 - 07/01/2017 12:00:00","BZN|NL","Without sequence","49.94","",""
"07/01/2017 12:00:00 - 07/01/2017 13:00:00","BZN|NL","Without sequence","60.63","",""
"07/01/2017 13:00:00 - 07/01/2017 14:00:00","BZN|NL","Without sequence","57.44","",""
"07/01/2017 14:00:00 - 07/01/2017 15:00:00","BZN|NL","Without sequence","52.2","",""
"07/01/2017 15:00:00 - 07/01/2017 16:00:00","BZN|NL","Without sequence","50.47","",""
"07/01/2017 16:00:00 - 07/01/2017 17:00:00","BZN|NL","Without sequence","59.08","",""
"07/01/2017 17:00:00 - 07/01/2017 18:00:00","BZN|NL","Without sequence","69.76","",""
"07/01/2017 18:00:00 - 07/01/2017 19:00:00","BZN|NL","Without sequence","57.44","",""
"07/01/2017 19:00:00 - 07/01/2017 20:00:00","BZN|NL","Without sequence","64.94","",""
"07/01/2017 20:00:00 - 07/01/2017 21:00:00","BZN|NL","Without sequence","38.3","",""
"07/01/2017 21:00:00 - 07/01/2017 22:00:00","BZN|NL","Without sequence","37.44","",""
"07/01/2017 22:00:00 - 07/01/2017 23:00:00","BZN|NL","Without sequence","40.1","",""
"07/01/2017 23:00:00 - 08/01/2017 00:00:00","BZN|NL","Without sequence","35.02","",""
